"wvl","ref_rad","signal","noise_rad","SNR"
380,8.64,115453.192349401,0.00237145612994655,582.932984735903
384.99997,7.56,101076.37199291,0.00223076939995924,535.456551780666
389.99994,8.19,106707.070482843,0.00224528073096091,554.443180540381
394.99997,8.08,110830.760504311,0.00224752085846614,568.02129524674
399.99994,11.6,169264.751254834,0.0026110093330338,737.492149889252
404.99997,13.1,205192.558996058,0.00279007623354763,826.357067336612
409.99994,12.5,207220.813830985,0.00276736497584798,831.115093264932
415,13,222877.06534841,0.00281881203776799,867.031915308275
419.99994,12.9,233349.772072497,0.0028399175087847,890.307114125293
424.99997,12.4,231608.061555929,0.00279759490663485,886.475628232797
429.99994,11.2,209542.781177153,0.00265094621333297,836.531596773465
434.99997,12.3,232794.271993491,0.00273921519945701,889.086772183055
439.99997,12.8,242565.186134611,0.00275592672038187,910.3290501325
444.99982,13.4,251578.415116704,0.00276787897859835,929.52110605026
449.99997,14.3,265833.624277698,0.00280293477019501,959.137676619195
454.99991,14.4,262029.315772724,0.00275491402969332,951.318816831372
460,14.4,261997.574740418,0.00272482621583793,951.25332578427
464.99994,14.5,266683.828469833,0.00271626895952946,960.876864142398
469.99988,14.3,262880.349524433,0.00267072956594554,953.073167293458
474.99991,14.3,265676.469314203,0.00265473285610689,958.815872619581
480.00012,14,265794.340372676,0.00262758248159471,959.057245072884
484.99985,13.3,263639.0867466,0.0025913552351875,954.634691689039
490,13.2,267196.652210105,0.00257982833852029,961.924467200545
494.99988,13.6,286975.010223776,0.00263435127329076,1001.53615364445
500,12.9,280624.087074768,0.00258265949261247,988.980547883345
504.99988,12.8,286913.571118821,0.0025819442713638,1001.41540616377
510.00003,12.8,292622.635412933,0.00257876710240755,1012.5770793191
515,12.1,287548.061316535,0.00253425453179256,1002.66171693601
520.00006,12.1,293104.224916675,0.0025309982083077,1013.51327787591
525.00018,12.5,308587.134102961,0.00256426362524154,1043.18482455096
530,12.4,311921.373404715,0.00255214595383747,1049.46975935005
535.00006,12.2,309785.850019234,0.00252064032801785,1045.44852270623
539.99988,11.8,299630.248690349,0.00246092247111301,1026.11951251675
545.00006,11.9,302116.926356819,0.00244721953504628,1030.88433606848
550,11.9,307764.132706548,0.00244482694338646,1041.62791844586
555,11.7,308196.070937844,0.00242429983941515,1042.44531097674
560.00006,11.3,300342.054745289,0.00237550725145987,1027.48558485772
565.00006,11.3,297412.5866126,0.00234437012183423,1021.85229955315
570.00012,10.9,289424.483788306,0.00229624321402333,1006.3389363495
574.99994,10.8,283827.408512244,0.0022569354052526,995.332216053644
580,10.9,288945.599001825,0.00225501910378642,1005.40168204922
584.99994,10.8,288762.77559043,0.00223512680665907,1005.04364822047
590.00006,9.92,270075.651141221,0.0021525421010372,967.785838389044
595,10.1,274664.833470652,0.00215012330231832,977.060244747293
600,10.3,287887.504128007,0.00217635736401413,1003.32787073742
605,10.4,301398.426545007,0.00220221323862636,1029.50974966174
610.00012,10.3,298206.823030214,0.0021739686324024,1023.38251345486
615.00018,10,300001.880603901,0.00216198609284635,1026.83295112101
620.00012,10.1,299961.817991184,0.00214442508006923,1026.75606383456
625.00006,9.82,302089.237547681,0.00213388944506723,1030.83139605234
630.00012,9.64,301593.469494777,0.00211542507563861,1029.88306596598
635.00006,9.81,312084.038511523,0.00213062773551421,1049.7754577386
640,9.85,324133.405270632,0.00214971639535154,1072.18794301612
645.00012,9.51,315391.064897714,0.0021073853487743,1055.97203724241
650,9.2,307476.320355073,0.00206784680084062,1041.08292699674
655.00012,9.11,314676.583202431,0.00207313232739186,1054.63621805109
660.00012,9.42,330598.434531147,0.00210292964713694,1084.03012853218
665.00006,9.63,334899.870207328,0.00209915224037492,1091.84088082656
670,9.58,338486.233741716,0.00209339352509556,1098.3123681416
675.00006,9.5,340982.389783384,0.00208470326529504,1102.79505686611
680.00006,9.45,347347.369546531,0.00208652904008026,1114.14696625099
685.00006,8.72,322874.729793284,0.00200503242795825,1069.86777447007
690,7.82,286925.991169998,0.00188971915090323,1001.43981664972
695,8.14,300829.524787062,0.0019154428803447,1028.42012164075
700.00006,8.19,307373.52518612,0.00191986034401687,1040.88821159714
705.00018,8.36,315993.526767293,0.00192966064356931,1057.09716522325
710.00006,8.51,318633.831395333,0.00192313757676196,1062.01461035296
714.99994,7.73,293898.971531427,0.00184291210131951,1015.05644959443
720.00018,6.28,240446.102911911,0.00167787979095183,905.76160692529
725.00012,6.26,237356.215086246,0.00165714739932948,899.06287160867
730.00006,6.51,246447.555021509,0.00167242532175706,918.641914836526
734.99988,7.47,284720.686907778,0.00176805337296782,997.096596151277
740.00006,7.94,302109.03094848,0.0018023234531379,1030.86924059343
745.00018,8.2,311424.038589769,0.00181434168144308,1048.5345838976
750,8.2,313513.788613483,0.00180757678065806,1052.45875049768
754.99994,7.88,300674.72876778,0.00176282351469814,1028.12344741745
760.00012,4.78,183612.420750926,0.00142025324398878,774.087139186765
765.00006,4.65,178231.652547317,0.00139399378097251,760.548506651416
770,7.21,275699.244244096,0.00166417598500698,979.139234480157
774.99994,7.67,295190.554918239,0.00170350712162859,1017.55958515912
780,7.61,294771.0088773,0.0016915316938477,1016.74713294189
785,7.43,284518.58365757,0.00165492511448471,996.697666597191
790,7.04,268859.372726103,0.00160445250332246,965.313710934283
795,6.92,265949.611823106,0.00158686625540961,959.375117348516
800,6.83,261740.960369027,0.00156611221691226,950.723699056243
805.00012,6.8,262220.069812647,0.00155761424859292,951.712308833294
810,6.39,252490.935037542,0.00152299097277669,931.443472323193
814.99994,5.08,201975.370524041,0.00137740337109542,818.757978719855
820,4.93,195438.661569071,0.00135049018280042,803.115797369915
825.00006,5.24,207092.2662985,0.00137494056036051,830.814279870018
830.00006,5.42,219456.136562279,0.00140025218791658,859.302445990312
835,5.82,239203.891083254,0.00144360242668779,903.074126157553
840.00006,6.19,255931.651110554,0.00147717177280119,938.658607976673
845,6.33,263276.779805474,0.00148646172524798,953.889344014861
850,6.16,264625.235598153,0.00148098492403722,956.660649952971
854.99994,5.99,261087.163569434,0.00146378689449029,949.373068901473
860,6.28,277699.210530716,0.00149471032157773,983.147021055461
865.00006,6.03,265904.102205997,0.00145834123043383,959.281960192425
870.00018,6.08,276631.145962221,0.00147505418010472,981.00862669144
875.00024,6.11,284291.462720385,0.00148418633823206,996.249173942207
880.00006,6,278449.091296568,0.0014624551991043,984.645744281224
884.99988,5.9,279952.962714834,0.00145760831642804,987.644909386789
890.00006,5.71,272469.561125808,0.00143244029699237,972.634192186105
895.00018,4.63,227645.304580838,0.00131878774384876,877.700250672593
900.00012,3.67,182912.003003463,0.00119745642986701,772.336930824874
905.00018,3.99,198375.327327851,0.00123121305923079,810.177291705462
909.99994,3.45,176618.748334491,0.00116756206546026,756.447796419146
914.99994,3.31,167722.528829304,0.00113723788716314,733.46145806022
920.00012,3.83,199770.58628505,0.00121465857506146,813.512705650642
924.99994,3.62,191316.543461092,0.00118672467405457,793.107225035013
929.99988,1.97,103890.128330972,0.0009325686560165,545.010912902703
935.00012,0.76,40943.9041350815,0.000698206330931878,285.187956136461
939.99988,1.1,60013.9237722809,0.000770778044930712,376.762090085357
945.00012,1.07,58244.3098930705,0.000759977149481052,368.879579539239
950.00006,1.21,66713.1635065324,0.00078746571130643,405.655757975848
955,1.42,78696.3473864791,0.000825636891332009,454.049478573083
960.00006,1.76,95070.3281620057,0.000875564082991499,514.594214121474
965.00006,2.38,134262.123470879,0.000988262433363481,640.599132120562
969.99982,3.34,190801.588382221,0.00113041748893266,791.848824247375
975.00018,3.25,185225.911339123,0.00111103230541317,778.105397825055
980.00018,3.62,208925.02290324,0.00116173697308942,835.093692077342
985.00006,4.22,239309.978685252,0.00122399577846327,903.303934551255
990,4.54,262710.206910832,0.00126756718854538,952.722672938425
994.99982,4.64,275937.442051713,0.00128833871634108,979.617379926562
1000.00006,4.59,270302.453777957,0.00127046227258528,968.246162726904
1005.00012,4.5,270302.421427143,0.00126414142405452,968.246097081625
1010.00018,4.51,272250.453621639,0.00126180849446779,972.191387154519
1015.00018,4.52,270173.044679804,0.00125142691553409,967.983536108468
1019.99994,4.48,273116.997878552,0.00125116320112401,973.941516075027
1024.99976,4.43,273388.083109092,0.00124559673177143,974.488406848788
1029.99988,4.41,271485.643755125,0.0012357979901437,970.644248693523
1034.99988,4.38,268955.839448066,0.00122484511689274,965.510001166591
1040.00024,4.34,271753.904927973,0.00122443955507392,971.187181165678
1045.00024,4.28,269285.559700598,0.00121376804818148,966.180630637803
1049.99988,4.23,263510.300933708,0.00119670634030309,954.369812890558
1054.99988,4.15,259758.211311676,0.00118368249637654,946.622091168911
1060.00012,4.03,259074.836680278,0.00117676116119365,945.20454675081
1064.99988,3.94,254484.457295075,0.00116225402073705,935.630232804351
1069.99951,3.85,248029.511950905,0.00114413276548308,922.009041629532
1075,3.84,252168.89278961,0.00114692695375892,930.765465491349
1079.99988,3.75,243845.681561297,0.00112531418342536,913.078654062972
1085.00012,3.59,231100.806815581,0.00109481317968478,885.356846835808
1090,3.45,226418.036087885,0.0010803849250464,874.96592935097
1094.99988,3.11,208037.080270514,0.00103788226736428,833.022905031045
1099.99988,2.69,180769.000091388,0.000975044831787871,766.959605979117
1104.99988,2.32,157745.305752267,0.000918949781960884,706.893783960494
1109.99976,1.89,129096.788129622,0.00084643501050836,625.210433677794
1115,0.983,66020.7245217248,0.00066878176240955,402.735264534711
1119.99988,0.399,27138.0481709686,0.000531737085669618,207.102313936446
1125,0.261,18231.9925800538,0.000493752017276943,149.066732741503
1130,0.369,25874.0234860963,0.000522144709893618,199.289580126553
1135.00024,0.426,29571.7328058062,0.000533951834888948,221.79551590572
1140,0.728,51823.6552617696,0.00060933439963922,339.307940143238
1145,0.484,35349.1268645975,0.000550427167823369,255.001947950798
1149.99988,0.6,43396.4141816891,0.00057606975279548,297.880693730717
1155.00024,0.926,65834.4896246108,0.000645060156643218,401.947283709553
1160,1.49,107885.177552586,0.000757876282953884,558.349706301271
