,VCD,VMR_CH4,VMR_H2O,Tmid,Pmid,Zmid
0,2.2013085055671583e+20,1.3917926683492863e-07,1.9335718661750434e-06,194.67496,0.0150000015,78.53133
1,2.7428008215315458e+20,1.436411423142719e-07,2.2440704015025403e-06,190.31158,0.026350003,74.465065
2,3.1883408331565335e+20,1.4697490141934594e-07,2.29241959459614e-06,194.74402,0.040142506,71.426895
3,3.9335515073474986e+20,1.4972265181163608e-07,2.361544375162339e-06,204.30975,0.056792513,68.922775
4,4.980345523033564e+20,1.5220215706935259e-07,2.401164692855673e-06,214.14908,0.07767251,66.66312
5,6.473186484176635e+20,1.5455350876237111e-07,2.444963911329978e-06,221.18373,0.10452401,64.52025
6,8.482553361455286e+20,1.5684501973939397e-07,2.5012484456965467e-06,225.41705,0.13959903,62.431915
7,1.1050974438277217e+21,1.590929896470417e-07,2.5491249289189e-06,228.89993,0.18542202,60.383263
8,1.431295632004591e+21,1.6129746871535016e-07,2.597400452941656e-06,234.72388,0.24493754,58.374245
9,1.8428592884447408e+21,1.6345845275848296e-07,2.63034144154517e-06,242.75902,0.32178357,56.404865
10,2.358834946571656e+21,1.806154383734706e-07,2.6497034468775382e-06,250.57904,0.4204236,54.475124
11,3.0014225024557363e+21,2.3684749527525484e-07,2.6614823127601994e-06,257.64224,0.54629254,52.58502
12,3.796428913874819e+21,2.9190004994207463e-07,2.6628013074514456e-06,264.021,0.7059566,50.73456
13,4.773441647423797e+21,3.457732158639938e-07,2.6487664399610367e-06,267.20947,0.9072871,48.92374
14,5.98021501915223e+21,3.9852748324511464e-07,2.610056981211528e-06,267.43585,1.1599752,47.15053
15,7.45128044290809e+21,4.5020938301167004e-07,2.5767112674657255e-06,263.3357,1.4756502,45.41337
16,9.2342299073911e+21,5.008186881835318e-07,2.5374686174473027e-06,259.56476,1.8678802,43.712257
17,1.1381423209581409e+22,5.503561931911479e-07,2.4867579213605495e-06,255.48529,2.3525906,42.047173
18,1.395133873240123e+22,5.988212170941345e-07,2.4180510536098154e-06,252.47903,2.9483206,40.418137
19,1.7007994990821472e+22,6.462143273428113e-07,2.3618945306225214e-06,248.33304,3.6765008,38.82513
20,2.0619774802805897e+22,6.925349564868585e-07,2.312678134330781e-06,244.16806,4.561686,37.268173
21,2.486103058998702e+22,7.377833315064043e-07,2.268996922794031e-06,239.49283,5.631801,35.747257
22,2.9807764247331232e+22,7.819595658915124e-07,2.2250451365835033e-06,236.29144,6.9183216,34.26238
23,3.5539261320521274e+22,8.250633191719909e-07,2.1634104996337555e-06,234.67159,8.456391,32.81355
24,4.2135593399479114e+22,8.670951587981597e-07,2.1189284780120943e-06,232.89017,10.284922,31.40075
25,5.0255216590467224e+22,9.482563013554961e-07,2.0554487036861246e-06,230.1507,12.460152,30.016096
26,5.974641667116331e+22,1.030267637991032e-06,2.0081413367734058e-06,227.53293,15.050253,28.65308
27,7.079854445653029e+22,1.1109776737180896e-06,1.9699245967785828e-06,226.0586,18.124353,27.311691
28,8.362149494150984e+22,1.1903853756670883e-06,1.938744617291377e-06,224.48473,21.761003,25.991947
29,9.844408495568604e+22,1.2684907438380281e-06,1.9103217709925957e-06,223.58536,26.049105,24.693848
30,1.1551847455044321e+23,1.3452949258637762e-06,1.8805533272825414e-06,221.06537,31.088905,23.417374
31,1.3510297505989357e+23,1.4207973479278994e-06,1.8454375094734132e-06,218.27576,36.992706,22.162535
32,1.585067436763391e+23,1.4952331600049514e-06,1.8047306866719737e-06,217.03867,43.909657,20.925423
33,1.8556673452181447e+23,1.558073456268663e-06,1.760556756380538e-06,216.349,52.015907,19.702732
34,2.167831936298395e+23,1.6175103451065876e-06,1.7031470633810386e-06,215.11923,61.49566,18.494461
35,2.5270490360284475e+23,1.6762372549114273e-06,1.6962675317699905e-06,213.83179,72.55786,17.300623
36,2.9395087577289657e+23,1.7281528827564135e-06,1.795947468963277e-06,211.49094,85.43901,16.121212
37,3.4580700175046395e+23,1.7545665683230837e-06,2.095540139634977e-06,209.0553,100.514366,14.948444
38,4.068470624858626e+23,1.7809806834727796e-06,2.4439941626042128e-06,209.54163,118.25002,13.775658
39,4.7860773058660336e+23,1.8073946697475674e-06,3.5313782973389607e-06,211.99884,139.11504,12.602877
40,5.6307722336394446e+23,1.828558693197243e-06,7.04463172951364e-06,215.10103,163.66153,11.4300995
41,6.324726191187028e+23,1.841837341396965e-06,1.0160769306821749e-05,218.09833,191.83652,10.28371
42,6.884804161110118e+23,1.8535565328065513e-06,2.229140227427706e-05,222.74449,222.97368,9.198181
43,7.629660875442163e+23,1.858264080299339e-06,3.067900979658589e-05,228.85641,257.19373,8.167751
44,8.336544082963313e+23,1.862206360612179e-06,4.282401641830802e-05,235.82852,294.84216,7.181816
45,6.116192300136607e+23,1.8631753639267998e-06,6.916706479387358e-05,241.4108,328.9368,6.3920784
46,6.05104353490725e+23,1.8639166198683664e-06,7.87284443504177e-05,245.70741,357.65637,5.787955
47,5.9530764867094205e+23,1.864e-06,0.0001221761485794559,249.85507,385.9937,5.237661
48,5.8976573971321346e+23,1.864e-06,0.00016780049190856516,253.66678,413.97226,4.732622
49,5.84052422294808e+23,1.864e-06,0.00021628555259667337,257.23242,441.68945,4.2648945
50,5.8174039840399914e+23,1.864e-06,0.00030055592651478946,260.52274,469.22086,3.8285003
51,5.7594320009085275e+23,1.864e-06,0.0004312323871999979,263.50952,496.5626,3.4197516
52,5.758037258416015e+23,1.864e-06,0.0005598299321718514,266.28052,523.76843,3.034789
53,5.7191139630172154e+23,1.864e-06,0.0008476153016090393,268.41187,550.88605,2.6704812
54,3.79900347174649e+23,1.864e-06,0.0014077435480430722,269.39746,573.3847,2.3815877
55,3.796086966307651e+23,1.864e-06,0.0018484786851331592,270.47427,591.3505,2.1589248
56,3.792114498668732e+23,1.864e-06,0.002189433900639415,271.7772,609.30255,1.9430892
57,3.7730431986229945e+23,1.864e-06,0.0023634894751012325,273.6393,627.21045,1.7340297
58,3.773051578338104e+23,1.864e-06,0.002442470286041498,275.73267,645.0737,1.5313553
59,3.017762139163341e+23,1.864e-06,0.0024864445440471172,277.66315,661.1478,1.3537211
60,2.2580731317190903e+23,1.864e-06,0.0025102291256189346,279.15958,673.637,1.2186602
61,2.257296456443468e+23,1.864e-06,0.002528480486944318,280.4372,684.33057,1.104993
62,2.2551788564884e+23,1.864e-06,0.0025448305532336235,281.70746,695.0132,0.99320173
63,2.2537746428060325e+23,1.864e-06,0.0025594010949134827,282.96716,705.6853,0.8832232
64,2.2548229909708974e+23,1.864e-06,0.0025733744259923697,284.2243,716.3625,0.77484417
65,2.2521403185558097e+23,1.864e-06,0.0025850769598037004,285.48108,727.03357,0.66812956
66,2.249361980845001e+23,1.864e-06,0.00259729428216815,286.73032,737.6912,0.563101
67,2.2501104643758664e+23,1.864e-06,0.002609164686873555,287.97565,748.3466,0.45960057
68,2.2487457779861084e+23,1.864e-06,0.0026233671233057976,289.23273,758.9968,0.35761318
69,2.246351261433724e+23,1.864e-06,0.0026380529161542654,290.5033,769.64,0.2571125
70,2.2468810285093057e+23,1.864e-06,0.0026572621427476406,291.82706,780.28094,0.15801318
71,2.5244454559061515e+23,1.864e-06,0.002694549039006233,293.48358,791.5792,0.05426041
